total_delivary,euclidean_points,manhattan_points,distance
20,20,0,0.767126206366218
25,25,0,0.8960369029381965
30,30,0,1.1255085927551092
40,40,0,1.5769181181776006
50,50,0,2.0295347501292893
20,0,20,0.8711754974996353
25,0,25,1.0096312448576086
30,0,30,1.263803011817494
40,0,40,1.7873104887413902
50,0,50,2.3061678509420034
20,7,13,1.0962250995905742
25,10,15,1.3587094901959442
30,12,18,1.493212384858204
40,17,23,1.9666917193094229
50,21,29,2.37726622889733
20,11,9,0.788020466461334
25,14,11,0.9905116874870036
30,17,13,1.2284102793591307
40,21,19,1.6835143678015567
50,28,22,2.163731127817653
